date,coding_level2,product,reason,synnopsis,notes,store_number,store_number,city,state,brand_code,brand,ownership_type,duplicate
1/3/14,Pre-packaged drinks,Unknown,Expired,"Customer stated after noticing her Evolution Fresh Juice had an expiration date of 12/22, she called the store it was purchased at and they advised to to call in.","Customer stated after noticing her Evolution Fresh Juice had an expiration date of 12/22, she called the store it was purchased at and they advised to to call in.",11465,,SAN BERNARDINO,CA,SBUX,EVFR,CO,No
1/5/14,Pre-packaged drinks,Unknown,Expired,Customer stated that she purchased an Evolution fresh drink and that the drink says that it is expired.,Customer stated that she purchased an Evolution fresh drink and that the drink says that it is expired.,10837,,Northvale,NJ,SBUX,Starbucks,CO,No
1/5/14,Pre-packaged drinks,Orange,Bloated/Fermented/Spoiled,Customer states that the Orange they received were spoiled and they provide bottle information: 154517 17:13A. They were all 15.2 ounce Oranges.,Customer states that the Orange they received were spoiled and they provide bottle information: 154517 17:13A. They were all 15.2 ounce Oranges.,7769,,New York,NY,SBUX,Starbucks,CO,No
1/6/14,Pre-packaged drinks,Defense Up,Bad Taste/Flavor,Customer said 4 out of the last ten defence up Evolution drinks tasted bitter.,Customer said 4 out of the last ten defence up Evolution drinks tasted bitter.,,,,,,EVFR,,No
1/6/14,Pre-packaged drinks,Raspberry Watermelon,Illness/Injury/Allergic Reaction,Customer had purchased 2 bottles of evolution fresh raspberry watermelon and after consuming the 2nd bottle felt the symptoms of food posioning and was very nauseous.,Customer had purchased 2 bottles of evolution fresh raspberry watermelon and after consuming the 2nd bottle felt the symptoms of food posioning and was very nauseous.,,,,,,EVFR,,No
1/7/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer stated Sweet Greens with Lemon drinks where sour and bitter in flavor.,Customer stated Sweet Greens with Lemon drinks where sour and bitter in flavor.,,,,,,Starbucks,,No
1/13/14,Pre-packaged drinks,Strawberry Lemonade,Bad Taste/Flavor,Customer stated that they purchased 3 bottles of the Strawberry Lemonade and they had an off smell to it and tasted almost rancid and left a filmy flavor on their tongue,Customer stated that they purchased 3 bottles of the Strawberry Lemonade and they had an off smell to it and tasted almost rancid and left a filmy flavor on their tongue,,,,,,EVFR,,No
1/14/14,Pre-packaged drinks,Carrot Juice,Expired,Customer states they ordered a carrot juice and realized it was 3 days expired.,Added $10.00 onto SVC# 6090885346368240 per CIMS case 13492844 under MID 99910439994,6490,,Oklahoma City,OK,SBUX,EVFR,CO,No
1/14/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer stated that they bought the Organic Orange and that it was a little off and wanted to know if someone can look into it.  enjoy by Feb 10.  The (batch code?) is 155155,Customer stated that they bought the Organic Orange and that it was a little off and wanted to know if someone can look into it.  enjoy by Feb 10.  The (batch code?) is 155155,,,,,,EVFR,,No
1/15/14,Pre-packaged drinks,OCA,Bad Odor,"Customer said they purchased a bottle of organic Carrot Apple Juice and stated the drink ""smelt very out of date"" and the expiration date was two weeks expired.","Customer said they purchased a bottle of organic Carrot Apple Juice and stated the drink ""smelt very out of date"" and the expiration date was two weeks expired.",,,,,,Starbucks,,No
