date,location,flavor,size,qty,defecttype,cavitynum,jobnum,shift
9/4/14,1,Reg Orange,64,2,2,,167841,
9/4/14,1,Reg Orange,15.2,37,2,,167840,
9/4/14,1,Essential Greens,15.2,17,2,,167787,
9/4/14,1,Reg Orange,128,1,2,,167891,
9/4/14,1,Acidified Ginger,15.2,6,2,,167718,
9/4/14,1,Super Green,15.2,49,4,,167962,
9/4/14,2,Defense Up,15.2,1,3,27,,
9/4/14,2,Defense Up,15.2,1,3,20,,
9/4/14,2,Defense Up,15.2,1,3,27,,
9/4/14,2,Defense Up,15.2,1,3,18,,
9/4/14,2,Defense Up,15.2,1,3,21,,
9/4/14,1,Defense Up,15.2,7,1,,167772,
9/4/14,1,Reg Apple,64,2,2,,167755,
9/4/14,1,Reg Apple,59,1,1,,167756,
9/4/14,1,Reg Apple,128,14,1,,167757,
9/4/14,1,Essential Greens,15.2,8,2,,167787,
9/4/14,1,Reg Orange,128,12,1,,167891,
9/4/14,3,Org Apple,64,4,4,,,
9/4/14,3,Org Apple,64,5,8,,167749,1
9/4/14,3,Strawberry Smoothie,64,1,8,,167793,1
9/4/14,3,Acidified Beet,64,2,8,,167795,1
9/4/14,3,Pineapple,64,4,7,,167822,1
9/5/14,4,Defense Up,15.2,7,2,,167772,1
9/5/14,3,Acidified Ginger,15.2,8,2,,167718,1
9/5/14,3,Acidified Ginger,15.2,12,8,,167718,1
9/5/14,3,Acidified Ginger,15.2,5,6,,167718,1
9/5/14,2,Super Green,15.2,4,7,,167962,1
9/5/14,2,Super Green,15.2,1,3,24,167962,1
9/5/14,2,Super Green,15.2,1,3,26,167962,1
9/5/14,2,Super Green,15.2,1,3,27,167962,1
9/5/14,2,Coconut Water Pineapple,15.2,13,7,,167922,1
9/5/14,2,Coconut Water Pineapple,15.2,1,3,28,167922,1
9/5/14,2,Coconut Water Pineapple,15.2,1,3,19,167922,1
9/5/14,2,Essential Greens,15.2,1,7,,167787,1
9/5/14,2,Orange Carrot Mango,15.2,1,4,,167856,1
9/5/14,2,Orange Carrot Mango,15.2,1,8,,167856,1
9/5/14,2,Essential Vegetable,15.2,9,7,,167852,1
9/5/14,2,Orange Carrot Mango,15.2,1,2,,167856,1
9/5/14,2,Coconut Water Pineapple,15.2,4,2,,167922,1
9/5/14,2,Reg Orange,15.2,5,7,,137840,1
9/5/14,3,Org Orange,64,1,4,,167833,1
9/5/14,4,Coconut Water Pineapple,15.2,10,5,,167922,1
